Designator,Mid X,Mid Y,Layer,Rotation
C1,132.00,64.00,Top,180.0
C2,124.00,20.00,Top,0.0
C3,50.00,41.00,Top,0.0
C4,59.00,33.00,Top,0.0
C5,29.00,68.00,Top,0.0
C6,138.50,60.60,Top,0.0
C7,109.00,51.00,Top,0.0
C8,109.00,46.10,Top,0.0
C9,50.00,49.00,Top,0.0
C10,23.00,68.00,Top,0.0
C11,46.00,36.00,Top,180.0
C12,35.00,68.00,Top,0.0
C13,32.00,68.00,Top,0.0
C14,59.00,41.00,Top,0.0
C15,51.00,33.00,Top,0.0
C16,77.30,60.20,Top,0.0
C17,71.00,25.00,Top,0.0
C18,83.00,23.00,Top,180.0
C19,71.00,13.00,Top,0.0
C20,83.00,11.00,Top,180.0
C21,51.00,25.00,Top,0.0
C22,54.00,17.00,Top,180.0
C23,54.00, 3.00,Top,0.0
C24,54.00,10.00,Top,180.0
C25,123.00,54.00,Top,0.0
C26,97.30,50.20,Top,0.0
C27,88.70,43.10,Top,180.0
C28,109.00,48.00,Top,0.0
C29,98.30,44.20,Top,180.0
C32,77.00,58.80,Top,0.0
C33,115.00,49.00,Top,180.0
C34,40.00,42.00,Top,180.0
C35,78.00,51.00,Top,180.0
C36,131.00,53.00,Top,0.0
C37,54.00,33.00,Top,180.0
C38,114.00,20.00,Top,180.0
C39,123.00,52.00,Top,180.0
C40,115.00,71.00,Top,0.0
C41,138.00,66.00,Top,0.0
C42,132.00,66.00,Top,180.0
C43,124.00,18.00,Top,0.0
C44,138.00,68.00,Top,0.0
C45,115.00,69.00,Top,0.0
C46,68.70,53.10,Top,0.0
C47,114.00,18.00,Top,180.0
C48,54.10,40.90,Top,180.0
C49,71.00,28.70,Top,180.0
C50,76.00, 3.00,Top,0.0
C51,76.00, 9.00,Top,0.0
C52,78.00,45.00,Top,180.0
C53,78.00,39.00,Top,180.0
C54,59.00,49.00,Top,0.0
C55,46.00,42.00,Top,0.0
C56,41.00,23.00,Top,0.0
C57,41.00,31.00,Top,0.0
C58,71.00,37.00,Top,0.0
C59,71.00,49.00,Top,0.0
C60,63.00,23.00,Top,0.0
C61,63.00,31.00,Top,0.0
C62,83.00,35.00,Top,0.0
C63,83.00,47.00,Top,0.0
C64,63.00,33.00,Top,180.0
C65,120.00,33.00,Top,0.0
C66,76.00,15.10,Top,0.0
C67,76.00,21.00,Top,0.0
C68,71.00,39.00,Top,180.0
C69,78.00,33.00,Top,180.0
C70,71.00, 3.00,Top,0.0
C71,71.00,15.00,Top,0.0
