Designator,Mid X,Mid Y,Layer,Rotation
C72,50.00, 9.00,Top,0.0
C73,54.00,25.00,Top,180.0
C74,43.00,42.00,Top,0.0
C75,26.00,68.00,Top,0.0
C76,51.00,17.00,Top,0.0
C77,115.00,51.00,Top,180.0
C78,97.30,60.20,Top,0.0
C79,88.70,53.10,Top,180.0
C80,41.00,36.00,Top,180.0
C81,89.00,44.50,Top,180.0
C82,97.00,48.80,Top,0.0
C83,89.00,54.50,Top,180.0
C84,97.00,58.80,Top,0.0
C85,69.00,54.50,Top,180.0
C86,120.00,31.00,Top,0.0
C87,108.70,49.50,Top,0.0
C88,98.00,46.00,Top,180.0
C91,54.00, 8.60,Top,180.0
C92,50.00, 3.00,Top,180.0
C93,54.00,15.60,Top,180.0
C94,51.00,10.40,Top,0.0
C95,124.00,32.00,Top,180.0
IC1,92.00,58.00,Top,0.0
IC2,61.00,45.00,Top,0.0
IC3,52.00,13.00,Top,0.0
IC4,72.00,58.00,Top,0.0
IC5,52.00, 6.00,Top,0.0
IC6,92.00,48.00,Top,0.0
IC7,103.00,48.00,Top,0.0
IC8,52.00,29.00,Top,270.0
IC9,52.00,21.00,Top,270.0
IC10,52.00,37.00,Top,270.0
IC11,119.00,15.00,Top,90.0
IC12,77.00,48.00,Top,0.0
IC13,77.00,36.00,Top,0.0
IC14,77.00,24.00,Top,0.0
IC15,77.00,12.00,Top,0.0
IC16,52.00,45.00,Top,0.0
IC17,77.00,42.00,Top,0.0
IC18,77.00,30.00,Top,0.0
IC19,77.00,18.00,Top,0.0
IC20,77.00, 6.00,Top,0.0
IC21,71.00,42.00,Top,270.0
IC22,71.00,18.00,Top,270.0
IC23,71.00,31.00,Top,270.0
IC24,71.00, 6.00,Top,270.0
IC25,119.00,62.00,Top,90.0
IC26,42.00,48.00,Top,270.0
IC29,117.00,41.00,Top,270.0
L1,131.00,69.00,Top,180.0
L2,137.00,71.00,Top,180.0
R1,75.00,54.00,Top,0.0
R2,98.00,54.00,Top,0.0
R3,92.20,54.00,Top,0.0
R6,105.00,44.00,Top,0.0
R7,83.00,41.00,Top,180.0
R8,83.00,32.00,Top,180.0
R11,91.80,62.00,Top,180.0
R12,83.00,19.00,Top,180.0
R13,70.00,62.00,Top,0.0
R14,114.00,30.10,Top,0.0
R17,59.00,35.00,Top,0.0
R18,93.40,44.00,Top,0.0
R19,93.40,41.80,Top,180.0
R20,92.20,51.90,Top,0.0
R21,41.00,11.80,Top,180.0
R22,46.00,11.80,Top,0.0
R23,46.00,16.20,Top,180.0
R24,46.00,14.00,Top,180.0
R25,89.30,41.10,Top,180.0
R26,103.00,41.90,Top,0.0
R27,63.00,11.80,Top,180.0
R28,58.00,11.80,Top,0.0
R29,58.00,16.20,Top,180.0
R30,58.00,14.00,Top,180.0
R31,89.30,39.00,Top,180.0
R32,83.00, 7.00,Top,180.0
R33,83.00,44.00,Top,180.0
R34,80.00,54.00,Top,0.0
R35,41.00,34.00,Top,180.0
R36,83.00,29.00,Top,180.0
R37,41.00, 4.80,Top,180.0
R38,83.00,16.00,Top,180.0
R39,46.00, 4.80,Top,0.0
R40,83.00, 4.00,Top,180.0
R41,46.00, 9.20,Top,180.0
R42,98.00,51.90,Top,180.0
R43,46.00, 7.00,Top,180.0
R44,63.00, 4.80,Top,180.0
R45,58.00, 4.80,Top,0.0
R46,58.00, 9.20,Top,180.0
R47,71.00,47.00,Top,0.0
R48,144.00,48.00,Top,0.0
R49,140.00,48.00,Top,180.0
R50,144.00,51.00,Top,0.0
R51,140.00,51.00,Top,180.0
R52,58.00, 7.00,Top,180.0
R53,71.00,35.00,Top,0.0
R54,41.00,28.00,Top,0.0
R55,41.00,20.00,Top,0.0
R56,83.00,49.00,Top,0.0
R57,83.00,37.00,Top,0.0
R58,63.00,28.00,Top,0.0
R59,63.00,20.00,Top,0.0
R60,63.00,35.00,Top,180.0
R61,46.00,34.00,Top,0.0
R62,58.00,31.00,Top,0.0
R63,46.00,31.00,Top,0.0
R64,46.00,28.00,Top,180.0
R65,58.00,28.00,Top,0.0
R66,58.00,23.00,Top,180.0
R67,46.00,23.00,Top,0.0
R68,46.00,20.00,Top,180.0
R69,58.00,20.00,Top,0.0
R70,114.00,32.70,Top,180.0
R71,84.00,66.00,Top,180.0
R72,90.00,66.00,Top,180.0
R73,46.00,40.00,Top,0.0
R74,71.00,23.00,Top,180.0
R75,83.00,25.00,Top,0.0
R76,71.00,11.00,Top,180.0
R77,83.00,13.00,Top,0.0
R79,70.00,67.20,Top,180.0
R80,64.00,69.00,Top,0.0
R81,64.00,66.00,Top,0.0
R82,64.00,60.00,Top,0.0
R83,64.00,63.00,Top,0.0
R84,41.00,40.00,Top,180.0
R85,70.00,64.90,Top,180.0
R86,103.00,39.10,Top,0.0
R88,103.00,36.80,Top,0.0
R89,97.60,41.80,Top,180.0
U1,133.00,58.00,Top,270.0
