Designator,Mid X,Mid Y,Layer,Rotation
C1,132.00,67.00,Top,180.0
C2,125.00,33.00,Top,0.0
C3,44.00,42.00,Top,0.0
C4,99.00,11.00,Top,180.0
C5,29.00,72.00,Top,0.0
C6,142.00,52.10,Top,180.0
C7,108.50,59.00,Top,0.0
C9,49.00,49.00,Top,0.0
C10,23.00,72.00,Top,0.0
C12,35.00,72.00,Top,0.0
C13,32.00,72.00,Top,0.0
C14,59.00,41.00,Top,0.0
C15,51.00,33.00,Top,0.0
C16,78.00,68.90,Top,0.0
C17,71.00,25.00,Top,0.0
C18,83.00,23.00,Top,180.0
C19,71.00,13.00,Top,0.0
C20,82.00,11.00,Top,180.0
C21,51.00,25.00,Top,0.0
C22,54.00,16.60,Top,180.0
C23,50.00, 2.00,Top,0.0
C24,54.00, 9.70,Top,180.0
C25,123.00,54.00,Top,0.0
C26,97.00,58.90,Top,0.0
C27,88.60,52.40,Top,180.0
C28,108.50,56.60,Top,0.0
C29,99.70,52.30,Top,180.0
C30,90.00,12.40,Top,0.0
C31,102.00,31.40,Top,0.0
C32,78.00,67.80,Top,0.0
C33,115.00,53.00,Top,180.0
C34,40.00,42.30,Top,180.0
C35,77.20,50.70,Top,180.0
C36,43.00,36.60,Top,0.0
C37,54.00,33.00,Top,180.0
C38,113.00,33.00,Top,180.0
C39,123.00,53.00,Top,180.0
C40,115.00,70.00,Top,0.0
C41,138.00,67.00,Top,0.0
C42,132.00,68.00,Top,180.0
C43,125.00,32.00,Top,0.0
C44,138.00,68.00,Top,0.0
C45,115.00,69.00,Top,0.0
C46,69.70,62.60,Top,0.0
C47,113.00,32.00,Top,180.0
C48,54.10,40.90,Top,180.0
C49,71.00,28.70,Top,180.0
C50,76.00, 3.00,Top,0.0
C51,76.00, 9.00,Top,0.0
C52,78.00,45.00,Top,180.0
C53,78.00,39.00,Top,180.0
C54,59.00,49.00,Top,0.0
C55,49.00,41.00,Top,0.0
C56,43.00,23.00,Top,0.0
C57,43.00,31.00,Top,0.0
C58,71.00,37.00,Top,0.0
C59,71.00,49.00,Top,0.0
C60,61.00,23.00,Top,0.0
C61,61.00,31.00,Top,0.0
C62,83.00,35.00,Top,0.0
C63,83.00,47.00,Top,0.0
C65,124.00,39.00,Top,0.0
C66,76.00,15.10,Top,0.0
C67,76.00,21.00,Top,0.0
C68,71.00,39.00,Top,180.0
C69,78.00,33.00,Top,180.0
C70,71.00, 3.00,Top,0.0
C71,71.00,15.00,Top,0.0
C72,50.00, 9.40,Top,0.0
C73,54.00,25.00,Top,180.0
C74,40.00,41.00,Top,180.0
C75,26.00,72.00,Top,0.0
C76,51.00,17.00,Top,0.0
C77,115.00,54.00,Top,180.0
C78,98.10,68.90,Top,0.0
C79,89.70,62.40,Top,180.0
C81,88.60,53.50,Top,180.0
C82,97.00,57.80,Top,0.0
C83,89.70,63.50,Top,180.0
C84,98.10,67.80,Top,0.0
C85,69.70,63.70,Top,180.0
C86,124.00,38.00,Top,0.0
C87,108.50,57.80,Top,0.0
C88,99.70,53.50,Top,180.0
C89,60.00,54.00,Top,0.0
C90,92.00,34.00,Top,180.0
C91,54.00, 8.60,Top,180.0
C92,50.00, 3.00,Top,0.0
C93,54.00,15.60,Top,180.0
C94,50.00,10.40,Top,0.0
