Designator,Mid X,Mid Y,Layer,Rotation
R43,54.00, 4.50,Top,180.0
R44,63.80, 2.30,Top,180.0
R45,63.80, 1.20,Top,180.0
R46,63.80, 5.50,Top,180.0
R47,72.00,66.00,Top,0.0
R48,112.00,24.00,Top,180.0
R49,108.00,24.00,Top,0.0
R50,121.00,24.00,Top,180.0
R51,117.00,24.00,Top,0.0
R52,63.80, 4.40,Top,180.0
R53,72.00,55.00,Top,0.0
R54,40.00,25.00,Top,0.0
R55,54.00,25.00,Top,0.0
R56,81.00,66.00,Top,180.0
R57,81.00,55.00,Top,180.0
R58,50.00,24.00,Top,0.0
R59,64.00,24.00,Top,0.0
R60,139.00,43.00,Top,180.0
R61,54.00,32.00,Top,0.0
R62,50.00,26.00,Top,0.0
R63,40.00,27.00,Top,0.0
R64,40.00,26.00,Top,180.0
R65,50.00,25.00,Top,0.0
R66,64.00,26.00,Top,180.0
R67,54.00,27.00,Top,0.0
R68,54.00,26.00,Top,180.0
R69,64.00,25.00,Top,0.0
R70,84.40,16.30,Top,180.0
R71,94.00,62.40,Top,180.0
R72,57.60,52.40,Top,0.0
R73,139.00,42.00,Top,0.0
R74,73.00,21.00,Top,180.0
R75,81.00,20.00,Top,0.0
R76,73.00,10.00,Top,180.0
R77,81.00, 9.00,Top,0.0
R78,25.40,11.90,Top,270.0
R79,64.00,31.00,Top,180.0
R80,54.00, 8.30,Top,180.0
R81,64.00, 8.10,Top,180.0
R82,63.80, 3.40,Top,180.0
R83,54.00, 1.50,Top,180.0
R84,141.00,43.00,Top,180.0
R85,64.00,32.00,Top,180.0
R86,41.50,52.80,Top,180.0
R88,41.50,57.80,Top,0.0
R89,61.20,61.90,Top,0.0
R91,54.00,16.60,Top,180.0
R92,81.20,43.90,Top,180.0
R93,50.00,32.00,Top,180.0
R94,72.20,43.90,Top,180.0
R95,40.00,32.00,Top,0.0
R96,50.00,34.00,Top,0.0
R97,40.00,35.00,Top,0.0
R98,40.00,34.00,Top,180.0
R99,50.00,33.00,Top,0.0
R100,73.00,32.00,Top,180.0
R101,81.00,33.00,Top,180.0
R102,54.00,17.70,Top,180.0
R103,54.00,19.70,Top,180.0
R104,54.00,18.70,Top,180.0
R105,64.00,17.40,Top,180.0
R106,64.00,15.50,Top,180.0
R107,64.00,19.40,Top,180.0
R108,64.00,18.40,Top,180.0
R109,54.00,15.60,Top,180.0
R110,64.00,16.50,Top,180.0
R111,81.00,39.00,Top,180.0
R112,81.00,27.00,Top,180.0
R113,81.00,37.10,Top,180.0
R114,81.00,25.00,Top,180.0
R115,64.00,34.00,Top,180.0
R116,139.00,17.10,Top,180.0
R117,141.20,17.10,Top,180.0
R118,139.00,15.90,Top,0.0
R119,127.60,64.50,Top,180.0
R120,135.60,62.50,Top,180.0
U$1,110.00,22.00,Top,270.0
U$2,119.00,22.00,Top,270.0
