Designator,Mid X,Mid Y,Layer,Rotation
C1,101.50,22.00,Top,180.0
C2,143.50,36.00,Top,270.0
C3,103.10, 3.30,Top,180.0
C4,62.10,20.50,Top,0.0
C5,33.00,60.00,Top,0.0
C6,110.00, 9.70,Top,180.0
C7,41.50,54.00,Top,180.0
C8,135.00,49.70,Top,0.0
C9,40.30,42.00,Top,180.0
C10,33.00,62.00,Top,0.0
C11,130.40,23.60,Top,180.0
C12,33.00,64.40,Top,0.0
C13,33.00,61.00,Top,0.0
C14,53.10,38.80,Top,180.0
C15,54.00,35.00,Top,180.0
C16,93.80,66.30,Top,0.0
C17,73.00,22.00,Top,0.0
C18,81.00,19.00,Top,180.0
C19,73.00,11.00,Top,0.0
C20,81.00, 8.00,Top,180.0
C21,40.00,23.00,Top,180.0
C22,62.10,13.40,Top,0.0
C23,57.90, 1.50,Top,0.0
C24,62.20, 6.50,Top,0.0
C25,94.70,31.70,Top,0.0
C26,55.00,54.10,Top,180.0
C27,61.80,59.40,Top,180.0
C28,41.50,56.40,Top,180.0
C29,49.30,59.50,Top,180.0
C30,70.10,25.80,Top,180.0
C31,81.20,42.30,Top,180.0
C32,93.80,65.40,Top,0.0
C33,88.10,29.50,Top,180.0
C34,99.00, 3.30,Top,180.0
C35,78.50,67.60,Top,180.0
C36,54.00,30.90,Top,0.0
C37,50.00,27.00,Top,0.0
C38,84.40,10.20,Top,270.0
C39,94.70,30.00,Top,180.0
C40,144.00, 9.00,Top,270.0
C41,101.50,15.10,Top,0.0
C42,103.00,24.00,Top,180.0
C43,94.70,10.00,Top,0.0
C44,103.00,17.00,Top,0.0
C45,88.00,46.00,Top,0.0
C46,87.30,61.70,Top,180.0
C47,86.00,11.00,Top,270.0
C48,64.00,35.10,Top,0.0
C49,71.10,48.90,Top,180.0
C50,73.00, 3.00,Top,180.0
C51,73.00, 8.00,Top,180.0
C52,78.50,62.40,Top,180.0
C53,78.60,56.50,Top,180.0
C54,53.10,42.00,Top,180.0
C55,40.30,38.70,Top,180.0
C56,54.00,24.00,Top,0.0
C57,40.00,24.00,Top,0.0
C58,72.00,56.00,Top,0.0
C59,72.00,67.00,Top,0.0
C60,64.00,23.00,Top,0.0
C61,50.00,23.00,Top,0.0
C62,81.00,53.00,Top,180.0
C63,81.00,64.00,Top,180.0
C64,135.00,51.70,Top,0.0
C65,135.60,65.50,Top,0.0
C66,73.00,13.90,Top,180.0
C67,73.00,19.00,Top,180.0
C68,71.00,58.00,Top,180.0
C69,78.50,51.40,Top,180.0
C70,70.10, 4.00,Top,180.0
C71,70.00,15.00,Top,180.0
C72,55.90, 8.60,Top,180.0
C73,64.00,27.00,Top,0.0
C74,101.00, 3.30,Top,0.0
C75,33.00,63.00,Top,0.0
C76,54.00,23.00,Top,180.0
C77,88.00,31.00,Top,180.0
C78,65.00,67.00,Top,0.0
C79,58.20,62.60,Top,0.0
C80,130.40,25.50,Top,180.0
C81,63.70,59.40,Top,0.0
C82,55.00,55.20,Top,180.0
C83,56.40,62.60,Top,180.0
C84,65.00,66.10,Top,0.0
C85,85.40,61.70,Top,180.0
C86,127.60,61.50,Top,180.0
C87,41.50,55.20,Top,180.0
C88,51.30,59.50,Top,0.0
C89,50.00,31.00,Top,180.0
C90,72.20,45.00,Top,180.0
C91,60.10, 6.50,Top,180.0
C92,55.90, 1.50,Top,180.0
C93,60.10,13.40,Top,180.0
C94,57.70, 8.60,Top,0.0
C95,57.80,15.60,Top,0.0
C96,40.00,33.00,Top,0.0
C97,50.00,35.00,Top,0.0
C98,40.00,31.00,Top,180.0
C99,73.00,33.00,Top,0.0
C100,81.00,30.00,Top,0.0
C101,73.10,30.00,Top,180.0
C102,78.60,45.50,Top,180.0
C103,78.70,40.40,Top,180.0
C104,72.90,24.90,Top,180.0
C105,71.00,37.90,Top,180.0
C106,141.20,15.90,Top,0.0
C107,129.90,15.40,Top,180.0
C108,134.00,24.50,Top,90.0
C109,143.90,25.20,Top,0.0
C110,95.70,12.70,Top,0.0
C111,88.00,48.00,Top,0.0
C112,139.40,25.20,Top,0.0
C113,136.10,24.50,Top,270.0
C114,135.60,64.50,Top,0.0
C115,127.60,62.50,Top,180.0
C116,60.10,20.50,Top,180.0
C117,56.00,15.60,Top,180.0
C121,141.00,42.00,Top,0.0
C122,130.00,42.00,Top,180.0
C125,96.00,19.00,Top,270.0
D1,129.80,45.80,Top,270.0
D2,129.50,19.30,Top,270.0
IC1,60.00,66.00,Top,270.0
IC2,59.00,41.00,Top,0.0
IC3,59.00,11.00,Top,0.0
IC4,89.00,65.00,Top,270.0
IC5,59.00, 4.00,Top,0.0
IC6,60.00,56.00,Top,90.0
IC7,47.00,56.00,Top,90.0
IC8,45.00,25.00,Top,270.0
IC9,59.00,25.00,Top,270.0
IC10,59.00,33.00,Top,270.0
IC11,90.10, 7.90,Top,90.0
IC12,77.00,65.00,Top,0.0
IC13,77.00,54.00,Top,0.0
IC14,77.00,20.00,Top,0.0
IC15,77.00, 9.00,Top,0.0
IC16,46.00,41.00,Top,0.0
IC17,77.00,60.00,Top,0.0
IC18,77.00,49.00,Top,0.0
IC19,77.00,15.00,Top,0.0
IC20,77.00, 4.00,Top,0.0
IC21,71.00,60.00,Top,270.0
IC22,71.00,17.00,Top,270.0
IC23,71.00,51.00,Top,270.0
IC24,71.00, 6.00,Top,270.0
IC25,91.00,39.00,Top,90.0
IC26,101.00, 9.00,Top,270.0
IC27,45.00,33.00,Top,270.0
IC28,77.00,31.00,Top,0.0
IC29,90.00,22.00,Top,270.0
IC30,77.00,43.00,Top,0.0
IC31,77.00,38.00,Top,0.0
IC32,77.00,26.00,Top,0.0
IC33,59.00,18.00,Top,0.0
IC34,71.00,40.00,Top,270.0
IC35,71.10,27.80,Top,270.0
IC36,134.90,18.40,Top,90.0
IC37,135.00,45.00,Top,90.0
IC38,131.60,63.50,Top,0.0
L1,102.00,26.00,Top,180.0
L2,102.00,19.00,Top,180.0
L3,133.40,34.00,Top,180.0
L4,134.00, 7.00,Top,180.0
R1,89.70,61.70,Top,0.0
R2,57.30,69.50,Top,180.0
R3,54.90,65.40,Top,180.0
R4,27.00,70.00,Top,90.0
R5,28.00,70.00,Top,90.0
R6,47.00,59.60,Top,180.0
R7,81.00,59.00,Top,180.0
R8,81.00,50.00,Top,180.0
R9,74.50,72.00,Top,0.0
R10,25.40, 9.80,Top,90.0
R11,59.90,69.50,Top,180.0
R12,81.00,16.00,Top,180.0
R13,84.10,64.20,Top,180.0
R14,84.40,15.20,Top,0.0
R15,40.00, 7.00,Top,90.0
R16,40.00,16.00,Top,90.0
R17,64.00,33.00,Top,180.0
R18,59.70,52.40,Top,180.0
R19,61.80,52.40,Top,180.0
R20,60.20,60.90,Top,0.0
R21,54.00, 9.40,Top,180.0
R22,54.00,10.50,Top,180.0
R23,54.00,12.70,Top,180.0
R24,54.00,11.60,Top,180.0
R25,52.30,43.20,Top,180.0
R26,47.00,60.70,Top,0.0
R27,64.00, 9.10,Top,180.0
R28,64.00,10.10,Top,180.0
R29,64.00,12.40,Top,180.0
R30,64.00,11.20,Top,180.0
R31,52.30,44.30,Top,180.0
R32,81.00, 5.00,Top,180.0
R33,81.00,61.00,Top,180.0
R34,94.00,64.00,Top,0.0
R35,54.00,33.00,Top,180.0
R36,81.00,48.00,Top,180.0
R37,54.00, 2.50,Top,180.0
R38,81.00,14.00,Top,180.0
R39,54.00, 3.50,Top,180.0
R40,81.00, 3.00,Top,180.0
R41,54.00, 5.50,Top,180.0
R42,57.30,70.70,Top,180.0
