Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C4 C5 C6 C7 C8 C9 C10 C12 C13 C14 C15 C16 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C33 C35 C36 C37 C42 C43 C44 C45 C46 C47 C48 C49 C50 C51 C52 C53 C54 C55 C65 C66 C67 C68 C69 C70 C71 C72 C73 C74 C75 C76 C78 C79,0805,
1k,R35 R61 R62 R63 R64 R65 R66 R67 R68 R69 R79 R85 R88,R0805,
1uF,C11 C17 C18 C19 C20 C56 C57 C58 C59 C60 C61 C62 C63 C64 C80,0805,
4.7k,R48 R49 R50 R51,R0805,
10k,R42,R0805,
10uF,C1 C2 C34 C38 C39 C40 C41 C77 C86,0805,
10uH,L1 L2,1210,C1882517
47,R2 R19 R34 R70,R0805,
74AUP2GU04GW,IC21 IC22 IC23 IC24,SOT65P210X110-6N,
100,R3 R10 R13 R14 R20 R26 R47 R53 R54 R55 R56 R57 R58 R59 R60 R71 R72 R73 R74 R75 R76 R77 R78 R84 R86 R87 R89,R0805,
100k,R17,R0805,
100pF,C32 C81 C82 C83 C84 C85 C87 C88 C89 C90 C91 C92 C93 C94,0603_CAP,
330,R1 R7 R8 R12 R21 R22 R23 R24 R27 R28 R29 R30 R32 R33 R36 R37 R38 R39 R40 R41 R43 R44 R45 R46 R52 R80 R81 R82 R83,R0805,
470,R6 R9 R11 R18 R25 R31,R0805,
7805DT,IC11,TO252,
AMS1117-1.8,IC26,SOT223,
DAC7578SPWR,IC2 IC16,SOP65P640X120-16N,
LM337KVURG3,IC29,LM337KVURG3,
LM358,IC8 IC9 IC10,SO08,
LTC6229IMS8E#TRPBF,IC3 IC5,SOP65P490X110-9N,
MC7905ACD2TR4G,IC25,MC7905ACD2TR4G,
OPA695IDR,IC1 IC4 IC6,SOIC127P600X175-8N,
OPA699ID,IC7 IC27,SOIC127P600X175-8N,
SN74AUC2G66DCTR,IC12 IC13 IC14 IC15 IC17 IC18 IC19 IC20,SOP65P400X130-8N,
TXS0108EPWR,U1,TSSOP20-0.65-6.5X4.4MM,
